File Name,User,License,License Link,Usage
clap.wav,Kyanite_,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
clap.wav,BraveFrog,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
Solo Clap,OwlStorm,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
Clapping.wav,Tats14,Attribution-NonCommercial 3.0 Unported,https://creativecommons.org/licenses/by-nc/3.0/,"Original, Altered"
clapping.wav,Citlaly,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
Clapping.wav,jay-kelly007,Attribution-NonCommercial 3.0 Unported,https://creativecommons.org/licenses/by-nc/3.0/,"Original, Altered"
Clapping_Patting_01.wav,Lex777,Attribution 3.0 Unported,https://creativecommons.org/licenses/by/3.0/,"Original, Altered"
SingleHandClap.wav,mikaelfernstrom,Attribution 3.0 Unported,https://creativecommons.org/licenses/by/3.0/,"Original, Altered"
Rpeople_Clap.wav,rhythmpeople,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
clap_04.wav,Jagadamba,Attribution 4.0 International,https://creativecommons.org/licenses/by/4.0/,"Original, Altered"
HandClap4.wav,Landau00,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
Clapping.wav,sportygurl37,Attribution 3.0 Unported,https://creativecommons.org/licenses/by/3.0/,"Original, Altered"
clapping.wav,anagar,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
clapping.wav,SamKolber,Attribution 3.0 Unported,https://creativecommons.org/licenses/by/3.0/,"Original, Altered"
Clap.wav,Equipodinamita2764,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
clap.wav,goldkelchen,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
Clapping.wav,deleted_user_4798915,Attribution 3.0 Unported,https://creativecommons.org/licenses/by/3.0/,"Original, Altered"
The Claps,ant1e,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
HandClap01.wav,bastianpusch,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
Clapping 2 (reverb),MBPL,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
5 claps for BINGO song,bogenseeberg,Attribution 4.0 International,https://creativecommons.org/licenses/by/4.0/,"Original, Altered"
Clap 01,steeltowngaming,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
Clap Hands Clapping,deleted_user_7146007,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
clap.wav,dpsa,Attribution 3.0 Unported,https://creativecommons.org/licenses/by/3.0/,"Original, Altered"
big clap,kellieskitchen,Attribution 3.0 Unported,https://creativecommons.org/licenses/by/3.0/,"Original, Altered"
clap3.wav,herraportti,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
Clapping.wav,cloe.king,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
CLAP.WAV,erkanozan,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
Clapping.wav,MessyAcousticApocalypse666,Attribution-NonCommercial 3.0 Unported,https://creativecommons.org/licenses/by-nc/3.0/,"Original, Altered"
"Clap, Single, 3.wav",InspectorJ,Attribution 4.0 International,https://creativecommons.org/licenses/by/4.0/,"Original, Altered"
medium clap,kellieskitchen,Attribution 3.0 Unported,https://creativecommons.org/licenses/by/3.0/,"Original, Altered"
ALRMElec_Smoke Detector Test Noise_ladako_20cm from mic.wav,ladako,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
smoke alarm,opalmirage,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
smoke_alarm.wav,wjoojoo,Attribution 4.0 International,https://creativecommons.org/licenses/by/4.0/,"Original, Altered"
smoke_alarm_piep_piep,Jan18101997,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
smoke detector fire alarm sound effect,Garuda1982,Attribution 4.0 International,https://creativecommons.org/licenses/by/4.0/,"Original, Altered"
LOUD Smoke Alarm unplug.wav,LiftPizzas,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
Smoke Detector  Alarm,rayprice,Attribution 3.0 Unported,https://creativecommons.org/licenses/by/3.0/,"Original, Altered"
"Smoke detector alarm, close perspective.wav",SpliceSound,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
Alarm,melokacool,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
Smoke alarm battery low.wav,Techienanna,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
Smoke Detector.wav,AaronGNP,Attribution 3.0 Unported,https://creativecommons.org/licenses/by/3.0/,"Original, Altered"
Breaking Plastic Smoke Alarm,petehallw,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
Binaural City Sounds + Train Station (Brighton City)-(170525_0063).wav,alvaroluisvillarcastillo,Attribution-NonCommercial 3.0 Unported,https://creativecommons.org/licenses/by-nc/3.0/,"Original, Altered"
ambience house with tv.wav,H0ugH,Attribution-NonCommercial 3.0 Unported,https://creativecommons.org/licenses/by-nc/3.0/,"Original, Altered"
niesen.wav,ost-soundwerkstatt,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
estornudo/sneeze.WAV,juancito10,Attribution 4.0 International,https://creativecommons.org/licenses/by/4.0/,"Original, Altered"
Man sneezing x3,miguelpascucci,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
VocalSC.wav,clshevo,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
I sneezed,JPBILLINGSLEYJR,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
sneezing.wav,Phila014,Attribution-NonCommercial 4.0 International,https://creativecommons.org/licenses/by-nc/4.0/,"Original, Altered"
fake sneezes,chestnutjam,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
sneeze goat 01.wav,klankbeeld,Attribution 4.0 International,https://creativecommons.org/licenses/by/4.0/,"Original, Altered"
Asthmatic Sneezing 1.wav,F.M.Audio,Attribution 4.0 International,https://creativecommons.org/licenses/by/4.0/,"Original, Altered"
